Entity,Code,Date,Daily_ICU_occupancy
Belgium,BEL,18-07-2020,30
Belgium,BEL,19-07-2020,31
Belgium,BEL,20-07-2020,36
Belgium,BEL,21-07-2020,33
Belgium,BEL,22-07-2020,41
Belgium,BEL,23-07-2020,40
Belgium,BEL,24-07-2020,41
Belgium,BEL,25-07-2020,44
Belgium,BEL,26-07-2020,47
Belgium,BEL,27-07-2020,52
Belgium,BEL,28-07-2020,49
Belgium,BEL,29-07-2020,47
Belgium,BEL,30-07-2020,42
Belgium,BEL,31-07-2020,48
Belgium,BEL,01-08-2020,56
Belgium,BEL,02-08-2020,58
Belgium,BEL,03-08-2020,54
Belgium,BEL,04-08-2020,63
Belgium,BEL,05-08-2020,61
Belgium,BEL,06-08-2020,65
Belgium,BEL,07-08-2020,69
Belgium,BEL,08-08-2020,67
Belgium,BEL,09-08-2020,69
Belgium,BEL,10-08-2020,73
Belgium,BEL,11-08-2020,77
Belgium,BEL,12-08-2020,76
Belgium,BEL,13-08-2020,74
Belgium,BEL,14-08-2020,80
Belgium,BEL,15-08-2020,82
Belgium,BEL,16-08-2020,86
Belgium,BEL,17-08-2020,91
Belgium,BEL,18-08-2020,89
Belgium,BEL,19-08-2020,83
Belgium,BEL,20-08-2020,82
Belgium,BEL,21-08-2020,84
Belgium,BEL,22-08-2020,85
Belgium,BEL,23-08-2020,87
Belgium,BEL,24-08-2020,89
Belgium,BEL,25-08-2020,85
Belgium,BEL,26-08-2020,81
Belgium,BEL,27-08-2020,82
Belgium,BEL,28-08-2020,77
Belgium,BEL,29-08-2020,72
Belgium,BEL,30-08-2020,71
Belgium,BEL,31-08-2020,74
Belgium,BEL,01-09-2020,68
Belgium,BEL,02-09-2020,60
Belgium,BEL,03-09-2020,58
Belgium,BEL,04-09-2020,52
Belgium,BEL,05-09-2020,53
Belgium,BEL,06-09-2020,53
Belgium,BEL,07-09-2020,52
Belgium,BEL,08-09-2020,59
Belgium,BEL,09-09-2020,60
Belgium,BEL,10-09-2020,65
Belgium,BEL,11-09-2020,67
Belgium,BEL,12-09-2020,68
Belgium,BEL,13-09-2020,71
Belgium,BEL,14-09-2020,72
Belgium,BEL,15-09-2020,67
Belgium,BEL,16-09-2020,74
Belgium,BEL,17-09-2020,69
Belgium,BEL,18-09-2020,78
Belgium,BEL,19-09-2020,78
Belgium,BEL,20-09-2020,77
Belgium,BEL,21-09-2020,87
Belgium,BEL,22-09-2020,94
Belgium,BEL,23-09-2020,95
Belgium,BEL,24-09-2020,104
Belgium,BEL,25-09-2020,109
Belgium,BEL,26-09-2020,120
Belgium,BEL,27-09-2020,135
Belgium,BEL,28-09-2020,140
Belgium,BEL,29-09-2020,150
Belgium,BEL,30-09-2020,157
Belgium,BEL,01-10-2020,156
Belgium,BEL,02-10-2020,163
Belgium,BEL,03-10-2020,185
Belgium,BEL,04-10-2020,186
Belgium,BEL,05-10-2020,195
Belgium,BEL,06-10-2020,189
Belgium,BEL,07-10-2020,201
Belgium,BEL,08-10-2020,213
Belgium,BEL,09-10-2020,212
Belgium,BEL,10-10-2020,226
Belgium,BEL,11-10-2020,243
Belgium,BEL,12-10-2020,268
Belgium,BEL,13-10-2020,281
Belgium,BEL,14-10-2020,313
Belgium,BEL,15-10-2020,327
Belgium,BEL,16-10-2020,358
Belgium,BEL,17-10-2020,384
Belgium,BEL,18-10-2020,412
Belgium,BEL,19-10-2020,446
Belgium,BEL,20-10-2020,486
Belgium,BEL,21-10-2020,525
Belgium,BEL,22-10-2020,573
Belgium,BEL,23-10-2020,633
Belgium,BEL,24-10-2020,694
Belgium,BEL,25-10-2020,756
Belgium,BEL,26-10-2020,810
Belgium,BEL,27-10-2020,912
Belgium,BEL,28-10-2020,994
Belgium,BEL,29-10-2020,1057
Belgium,BEL,30-10-2020,1105
Belgium,BEL,31-10-2020,1161
Belgium,BEL,01-11-2020,1223
Belgium,BEL,02-11-2020,1302
Belgium,BEL,03-11-2020,1353
Belgium,BEL,04-11-2020,1412
Belgium,BEL,05-11-2020,1428
Belgium,BEL,06-11-2020,1459
Belgium,BEL,07-11-2020,1464
Belgium,BEL,08-11-2020,1470
Belgium,BEL,09-11-2020,1474
Belgium,BEL,10-11-2020,1470
Belgium,BEL,11-11-2020,1463
Belgium,BEL,12-11-2020,1456
Belgium,BEL,13-11-2020,1457
Belgium,BEL,14-11-2020,1423
Belgium,BEL,15-11-2020,1439
Belgium,BEL,16-11-2020,1408
Belgium,BEL,17-11-2020,1356
Belgium,BEL,18-11-2020,1323
Belgium,BEL,19-11-2020,1286
Belgium,BEL,20-11-2020,1256
Belgium,BEL,21-11-2020,1201
Belgium,BEL,22-11-2020,1194
Bulgaria,BGR,06-04-2020,26
Bulgaria,BGR,07-04-2020,26
Bulgaria,BGR,08-04-2020,27
Bulgaria,BGR,09-04-2020,32
Bulgaria,BGR,10-04-2020,33
Bulgaria,BGR,11-04-2020,35
Bulgaria,BGR,12-04-2020,36
Bulgaria,BGR,13-04-2020,36
Bulgaria,BGR,14-04-2020,29
Bulgaria,BGR,15-04-2020,31
Bulgaria,BGR,16-04-2020,37
Bulgaria,BGR,17-04-2020,44
Bulgaria,BGR,18-04-2020,44
Bulgaria,BGR,19-04-2020,36
Bulgaria,BGR,20-04-2020,36
Bulgaria,BGR,21-04-2020,34
Bulgaria,BGR,22-04-2020,40
Bulgaria,BGR,23-04-2020,37
Bulgaria,BGR,24-04-2020,41
Bulgaria,BGR,25-04-2020,41
Bulgaria,BGR,26-04-2020,37
Bulgaria,BGR,27-04-2020,41
Bulgaria,BGR,28-04-2020,39
Bulgaria,BGR,29-04-2020,39
Bulgaria,BGR,30-04-2020,40
Bulgaria,BGR,01-05-2020,43
Bulgaria,BGR,02-05-2020,43
Bulgaria,BGR,03-05-2020,40
Bulgaria,BGR,04-05-2020,40
Bulgaria,BGR,05-05-2020,37
Bulgaria,BGR,06-05-2020,39
Bulgaria,BGR,07-05-2020,38
Bulgaria,BGR,08-05-2020,43
Bulgaria,BGR,09-05-2020,49
Bulgaria,BGR,10-05-2020,56
Bulgaria,BGR,11-05-2020,58
Bulgaria,BGR,12-05-2020,50
Bulgaria,BGR,13-05-2020,51
Bulgaria,BGR,14-05-2020,51
Bulgaria,BGR,15-05-2020,49
Bulgaria,BGR,16-05-2020,45
Bulgaria,BGR,17-05-2020,46
Bulgaria,BGR,18-05-2020,43
Bulgaria,BGR,19-05-2020,36
Bulgaria,BGR,20-05-2020,33
Bulgaria,BGR,21-05-2020,31
Bulgaria,BGR,22-05-2020,29
Bulgaria,BGR,23-05-2020,29
Bulgaria,BGR,24-05-2020,22
Bulgaria,BGR,25-05-2020,20
Bulgaria,BGR,26-05-2020,21
Bulgaria,BGR,27-05-2020,22
Bulgaria,BGR,28-05-2020,20
Bulgaria,BGR,29-05-2020,20
Bulgaria,BGR,30-05-2020,18
Bulgaria,BGR,31-05-2020,17
Bulgaria,BGR,01-06-2020,16
Bulgaria,BGR,02-06-2020,20
Bulgaria,BGR,03-06-2020,9
Bulgaria,BGR,04-06-2020,8
Bulgaria,BGR,05-06-2020,8
Bulgaria,BGR,06-06-2020,12
Bulgaria,BGR,07-06-2020,12
Bulgaria,BGR,08-06-2020,12
Bulgaria,BGR,09-06-2020,15
Bulgaria,BGR,10-06-2020,13
Bulgaria,BGR,11-06-2020,17
Bulgaria,BGR,12-06-2020,15
Bulgaria,BGR,13-06-2020,15
Bulgaria,BGR,14-06-2020,16
Bulgaria,BGR,15-06-2020,15
Bulgaria,BGR,16-06-2020,14
Bulgaria,BGR,17-06-2020,13
Bulgaria,BGR,18-06-2020,12
Bulgaria,BGR,19-06-2020,13
Bulgaria,BGR,20-06-2020,17
Bulgaria,BGR,21-06-2020,13
Bulgaria,BGR,22-06-2020,13
Bulgaria,BGR,23-06-2020,11
Bulgaria,BGR,24-06-2020,16
Bulgaria,BGR,25-06-2020,16
Bulgaria,BGR,26-06-2020,16
Bulgaria,BGR,27-06-2020,18
Bulgaria,BGR,28-06-2020,25
Bulgaria,BGR,29-06-2020,31
Bulgaria,BGR,30-06-2020,32
Bulgaria,BGR,01-07-2020,32
Bulgaria,BGR,02-07-2020,31
Bulgaria,BGR,03-07-2020,29
Bulgaria,BGR,04-07-2020,29
Bulgaria,BGR,05-07-2020,28
Bulgaria,BGR,06-07-2020,29
Bulgaria,BGR,07-07-2020,32
Bulgaria,BGR,08-07-2020,32
Bulgaria,BGR,09-07-2020,28
Bulgaria,BGR,10-07-2020,32
Bulgaria,BGR,11-07-2020,33
Bulgaria,BGR,12-07-2020,33
Bulgaria,BGR,13-07-2020,29
Bulgaria,BGR,14-07-2020,27
Bulgaria,BGR,15-07-2020,28
Bulgaria,BGR,16-07-2020,28
Bulgaria,BGR,17-07-2020,28
Bulgaria,BGR,18-07-2020,33
Bulgaria,BGR,19-07-2020,34
Bulgaria,BGR,20-07-2020,34
Bulgaria,BGR,21-07-2020,34
Bulgaria,BGR,22-07-2020,31
Bulgaria,BGR,23-07-2020,24
Bulgaria,BGR,24-07-2020,27
Bulgaria,BGR,25-07-2020,28
Bulgaria,BGR,26-07-2020,33
Bulgaria,BGR,27-07-2020,34
Bulgaria,BGR,28-07-2020,39
Bulgaria,BGR,29-07-2020,40
Bulgaria,BGR,30-07-2020,37
Bulgaria,BGR,31-07-2020,34
Bulgaria,BGR,01-08-2020,42
Bulgaria,BGR,02-08-2020,43
Bulgaria,BGR,03-08-2020,46
Bulgaria,BGR,04-08-2020,43
Bulgaria,BGR,05-08-2020,41
Bulgaria,BGR,06-08-2020,44
Bulgaria,BGR,07-08-2020,47
Bulgaria,BGR,08-08-2020,55
Bulgaria,BGR,09-08-2020,54
Bulgaria,BGR,10-08-2020,54
Bulgaria,BGR,11-08-2020,64
Bulgaria,BGR,12-08-2020,63
Bulgaria,BGR,13-08-2020,63
Bulgaria,BGR,14-08-2020,58
Bulgaria,BGR,15-08-2020,55
Bulgaria,BGR,16-08-2020,56
Bulgaria,BGR,17-08-2020,56
Bulgaria,BGR,18-08-2020,61
Bulgaria,BGR,19-08-2020,60
Bulgaria,BGR,20-08-2020,63
Bulgaria,BGR,21-08-2020,73
Bulgaria,BGR,22-08-2020,74
Bulgaria,BGR,23-08-2020,74
Bulgaria,BGR,24-08-2020,65
Bulgaria,BGR,25-08-2020,64
Bulgaria,BGR,26-08-2020,60
Bulgaria,BGR,27-08-2020,65
Bulgaria,BGR,28-08-2020,59
Bulgaria,BGR,29-08-2020,61
Bulgaria,BGR,30-08-2020,63
Bulgaria,BGR,31-08-2020,65
Bulgaria,BGR,01-09-2020,62
Bulgaria,BGR,02-09-2020,63
Bulgaria,BGR,03-09-2020,61
Bulgaria,BGR,04-09-2020,56
Bulgaria,BGR,05-09-2020,57
Bulgaria,BGR,06-09-2020,54
Bulgaria,BGR,07-09-2020,53
Bulgaria,BGR,08-09-2020,57
Bulgaria,BGR,09-09-2020,60
Bulgaria,BGR,10-09-2020,55
Bulgaria,BGR,11-09-2020,56
Bulgaria,BGR,12-09-2020,53
Bulgaria,BGR,13-09-2020,53
Bulgaria,BGR,14-09-2020,49
Bulgaria,BGR,15-09-2020,46
Bulgaria,BGR,16-09-2020,43
Bulgaria,BGR,17-09-2020,37
Bulgaria,BGR,18-09-2020,34
Bulgaria,BGR,19-09-2020,37
Bulgaria,BGR,20-09-2020,35
Bulgaria,BGR,21-09-2020,33
Bulgaria,BGR,22-09-2020,31
Bulgaria,BGR,23-09-2020,29
Bulgaria,BGR,24-09-2020,30
Bulgaria,BGR,25-09-2020,36
Bulgaria,BGR,26-09-2020,36
Bulgaria,BGR,27-09-2020,41
Bulgaria,BGR,28-09-2020,42
Bulgaria,BGR,29-09-2020,44
Bulgaria,BGR,30-09-2020,44
Bulgaria,BGR,01-10-2020,47
Bulgaria,BGR,02-10-2020,50
Bulgaria,BGR,03-10-2020,54
Bulgaria,BGR,04-10-2020,56
Bulgaria,BGR,05-10-2020,59
Bulgaria,BGR,06-10-2020,57
Bulgaria,BGR,07-10-2020,53
Bulgaria,BGR,08-10-2020,56
Bulgaria,BGR,09-10-2020,58
Bulgaria,BGR,10-10-2020,59
Bulgaria,BGR,11-10-2020,62
Bulgaria,BGR,12-10-2020,65
Bulgaria,BGR,13-10-2020,64
Bulgaria,BGR,14-10-2020,67
Bulgaria,BGR,15-10-2020,74
Bulgaria,BGR,16-10-2020,76
Bulgaria,BGR,17-10-2020,79
Bulgaria,BGR,18-10-2020,74
Bulgaria,BGR,19-10-2020,88
Bulgaria,BGR,20-10-2020,93
Bulgaria,BGR,21-10-2020,107
Bulgaria,BGR,22-10-2020,112
Bulgaria,BGR,23-10-2020,127
Bulgaria,BGR,24-10-2020,138
Bulgaria,BGR,25-10-2020,146
Bulgaria,BGR,26-10-2020,149
Bulgaria,BGR,27-10-2020,145
Bulgaria,BGR,28-10-2020,162
Bulgaria,BGR,29-10-2020,167
Bulgaria,BGR,30-10-2020,165
Bulgaria,BGR,31-10-2020,166
Bulgaria,BGR,01-11-2020,169
Bulgaria,BGR,02-11-2020,180
Bulgaria,BGR,03-11-2020,210
Bulgaria,BGR,04-11-2020,239
Bulgaria,BGR,05-11-2020,250
Bulgaria,BGR,06-11-2020,257
Bulgaria,BGR,07-11-2020,271
Bulgaria,BGR,08-11-2020,272
Bulgaria,BGR,09-11-2020,270
Bulgaria,BGR,10-11-2020,280
Bulgaria,BGR,11-11-2020,276
Bulgaria,BGR,12-11-2020,284
Bulgaria,BGR,13-11-2020,288
Bulgaria,BGR,14-11-2020,295
Bulgaria,BGR,15-11-2020,293
Bulgaria,BGR,16-11-2020,288
Bulgaria,BGR,17-11-2020,303
Bulgaria,BGR,18-11-2020,313
Bulgaria,BGR,19-11-2020,344
Bulgaria,BGR,20-11-2020,383
Bulgaria,BGR,21-11-2020,408
Bulgaria,BGR,22-11-2020,408
Czech Republic,CZE,10-03-2020,0
Czech Republic,CZE,11-03-2020,0
Czech Republic,CZE,12-03-2020,0
Czech Republic,CZE,13-03-2020,0
Czech Republic,CZE,14-03-2020,0
Czech Republic,CZE,15-03-2020,0
Czech Republic,CZE,16-03-2020,2
Czech Republic,CZE,17-03-2020,4
Czech Republic,CZE,18-03-2020,5
Czech Republic,CZE,19-03-2020,6
Czech Republic,CZE,20-03-2020,15
Czech Republic,CZE,21-03-2020,14
Czech Republic,CZE,22-03-2020,18
Czech Republic,CZE,23-03-2020,22
Czech Republic,CZE,24-03-2020,26
Czech Republic,CZE,25-03-2020,36
Czech Republic,CZE,26-03-2020,38
Czech Republic,CZE,27-03-2020,48
Czech Republic,CZE,28-03-2020,57
Czech Republic,CZE,29-03-2020,53
Czech Republic,CZE,30-03-2020,66
Czech Republic,CZE,31-03-2020,72
Czech Republic,CZE,01-04-2020,75
Czech Republic,CZE,02-04-2020,78
Czech Republic,CZE,03-04-2020,88
Czech Republic,CZE,04-04-2020,85
Czech Republic,CZE,05-04-2020,82
Czech Republic,CZE,06-04-2020,88
Czech Republic,CZE,07-04-2020,100
Czech Republic,CZE,08-04-2020,94
Czech Republic,CZE,09-04-2020,96
Czech Republic,CZE,10-04-2020,89
Czech Republic,CZE,11-04-2020,87
